H0                  Omega_bh^2           Omega_ch^2          tau                   A_s                  n_s
69.16754889936257 0.022603859936420924 0.11565560256403011 0.06410871681144843 2.1032828317707623e-09 0.9768438404059411
69.16321357841406 0.02261477235163415 0.11566962451987996 0.06365036995977603 2.101834218659787e-09 0.9768200747775572
69.16321357841406 0.02261477235163415 0.11566962451987996 0.06365036995977603 2.101834218659787e-09 0.9768200747775572
69.18486683753068 0.02263229170031916 0.11568104072306469 0.06894730604843127 2.125093912937636e-09 0.9769834758538969
69.12783527911436 0.022618461691012146 0.11567525827648245 0.06990231256940807 2.1289191342344775e-09 0.9765890816931034
69.08441405405114 0.02257956937214489 0.11563676717462143 0.07074369902016603 2.132340557319372e-09 0.9765359242805199
69.07527112363191 0.022580526416384913 0.11564021055254288 0.06892888412370103 2.125142580734014e-09 0.9765780812207583
69.12290115045033 0.022593865377209792 0.11564687329366916 0.06781878657642425 2.120696760686391e-09 0.9768019682414213
69.14005830860296 0.02261367685453672 0.11566234558672966 0.06913618006072449 2.1263282813704214e-09 0.9770354457339895
69.16379818863889 0.022616848841929656 0.11566078798152575 0.0683183091957961 2.12327484795018e-09 0.9771530667898909
